tpap,pspBank,handle,goLive
Aditya Birla Capital Digital,ICICI Bank,abcdicici,April-2024
Amazon Pay,Axis Bank,apl,January-2019
Amazon Pay,RBL Bank,rapl,January-2019
Amazon Pay,Yes Bank,yapl,January-2019
Bajaj Finserv,Axis Bank,abfspay,March-2021
BharatPe,Unity Small Finance Bank,bpunity,August-2024
ChangeJar,Unity Small Finance Bank,jarunity,May-2025
Cheq,Axis Bank,cqaxis,June-2026
CRED,Yes Bank,yescred,April-2019
CRED,Axis Bank,axisb,April-2019
Curie Money,Yes Bank,yescurie,November-2024
FamApp by Trio,Yes Bank,yesfam,May-2024
Fave,Axis Bank,fvaxis,December-2025
Flipkart UPI,Axis Bank,fkaxis,March-2024
Freo,ICICI Bank,freoicici,August-2024
GoodScore,Axis Bank,gsaxis,July-2026
Google Pay,Axis Bank,okaxis,September-2017
Google Pay,HDFC Bank,okhdfcbank,September-2017
Google Pay,ICICI,okicici,September-2017
Google Pay,State Bank of India,oksbi,September-2017
Groww,Yes Bank,yesg,October-2022
Herofincorp,Axis Bank,hfaxis,December-2025
IND Money,HDFC Bank,inhdfc,October-2024
JUMPP,Yes Bank,jpyes,December-2025
Jupiter Money,Axis Bank,jupiteraxis,June-2021
Kiwi,Axis Bank,goaxb,May-2023
Kredit Bee,Axis Bank,kbaxis,July-2025
Kredit.Pe,HDFC Bank,kphdfc,September-2024
MobiKwik,HDFC Bank,ikwik,May-2018
MobiKwik,NSDL Bank,mbkns,September-2025
Money View,HDFC Bank,mvhdfc,October-2024
Multipl,Yes Bank,mlyes,April-2026
Navi,Axis Bank,naviaxis,August-2023
Navi,Yes Bank,nyes,September-2025
Novio,DCB Bank,nvdcb,December-2025
Lxme UPI,Axis Bank,lxaxis,September-2025
One Card,Yes Bank,oneyes,September-2024
Paytm,Yes Bank,paytm,March-2024
Paytm,Yes Bank,ptyes,March-2024
Paytm,HDFC Bank,pthdfc,March-2024
Paytm,State Bank of India,ptsbi,March-2024
Paytm,Axis Bank,ptaxis,March-2024
PhonePe,Yes Bank,ybl,August-2016
PhonePe,ICICI Bank,ibl,August-2016
PhonePe,Axis Bank,axl,August-2016
POP UPI,Yes Bank,yespop,June-2024
Rediff,Axis Bank,rpaxis,December-2025
Refyne,Unity Small Finance Bank,rfunity,August-2026
Rio Money,RBL Bank,rmrbl,November-2024
Samsung Pay,Axis Bank,pingpay,February-2018
salaryse,Yes Bank,seyes,July-2024
Saathi - Pay Nearby,Yes Bank,pnyes,October-2025
Scapia,Axis Bank,tlaxis,December-2025
Shriram One,HDFC Bank,shriramhdfcbank,September-2023
Snapmint,Yes Bank,smyes,March-2026
Stashfin,Unity Small Finance Bank,sfunity,February-2026
super.money,Yes Bank,superyes,June-2024
Tata Neu,ICICI Bank,tapicici,April-2022
Tata Neu,Axis Bank,tnaxis,April-2026
TimePay,The Cosmos Co-Operative Bank Ltd.,timecosmos,August-2021
T Wallet,Axis Bank,axisbank,November-2024
WhatsApp,ICICI Bank,waicici,November-2020
WhatsApp,ICICI Bank,icici,November-2020
WhatsApp,Axis Bank,waaxis,November-2020
WhatsApp,HDFC Bank,wahdfcbank,November-2020
WhatsApp,State Bank of India,wasbi,November-2020
ZET,RBL Bank,ztrbl,December-2025
